Year,Team,G,P,Opposition,G,P,Diff
1969,Cork,2,12,Tipperary,3,8,1
1969,Cork,3,8,Clare,2,5,6
1969,Cork,3,7,Limerick,1,5,8
1969,Cork,5,9,Dublin,3,10,5
1969,Cork,3,7,Galway,1,7,6
1968,Cork,2,7,Tipperary,1,15,-5
1968,Cork,3,12,Clare,4,4,5
1968,Cork,1,13,Dublin,1,9,4
1968,Cork,1,5,Limerick,1,5,0
1968,Cork,5,13,Galway,6,3,7
1967,Cork,2,11,Clare,3,9,-1
1967,Cork,7,10,Galway,1,8,20
1967,Cork,2,4,Limerick,3,4,-3
1967,Cork,2,10,Dublin,3,15,-8
1967,Cork,1,10,Clare,1,7,3
1966,Cork,1,8,Kilkenny,4,11,-12
1966,Cork,4,7,Clare,3,8,2
1966,Cork,1,14,Galway,1,7,7
1966,Cork,3,8,Limerick,0,7,10
1966,Cork,2,4,Clare,0,11,-1
1966,Cork,4,6,Dublin,1,3,12
1965,Cork,1,9,Galway,1,3,6
1965,Cork,1,11,Kilkenny,3,6,-1
1965,Cork,2,13,Clare,4,4,3
1965,Cork,2,12,Tipperary,4,8,-2
1964,Cork,2,7,Wexford,2,9,-2
1964,Cork,3,5,Galway,0,10,4
1964,Cork,3,9,Kilkenny,1,6,9
1964,Cork,1,3,Tipperary,3,14,-17
1964,Cork,5,9,Clare,5,5,4
1963,Cork,4,8,Waterford,5,9,-4
1963,Cork,7,4,Wexford,5,13,-3
1963,Cork,5,11,Limerick,3,6,11
1963,Cork,1,12,Carlow,1,17,-5
1962,Cork,1,8,Kilkenny,1,16,-8
1962,Cork,6,12,Dublin,1,4,23
1962,Cork,3,4,Waterford,1,9,1
1962,Cork,9,7,Wexford,3,6,19
1962,Cork,4,7,Limerick,3,9,1
1962,Cork,8,10,Carlow,4,9,13
1961,Cork,5,8,Dublin,2,7,10
1961,Cork,4,6,Waterford,4,9,-3
1961,Cork,3,7,Wexford,2,10,0
1961,Cork,6,7,Antrim,1,2,20
1961,Cork,1,5,Kilkenny,2,2,0
1960,Cork,3,8,Tipperary,2,15,-4
1960,Cork,7,6,Dublin,3,6,12
1960,Cork,6,6,Waterford,5,3,6
1960,Cork,7,9,Wexford,5,4,11
1960,Cork,6,6,Antrim,1,3,18
1960,Cork,3,7,Kilkenny,5,7,-6
1959,Cork,6,5,Kilkenny,5,8,0
1959,Cork,8,7,Antrim,4,4,15
1959,Cork,5,8,Dublin,6,5,0
1959,Cork,2,3,Waterford,4,5,-8
1959,Cork,5,7,Wexford,5,6,1
1958,Cork,5,14,Antrim,2,5,18
1958,Cork,4,6,Kilkenny,3,3,6
1958,Cork,1,5,Dublin,3,9,-10
1958,Cork,4,3,Wexford,4,4,-1
1958,Cork,4,5,Waterford,3,10,-2
1957,Cork,9,5,Dublin,3,5,18
1957,Cork,5,8,Wexford,3,11,3
1957,Cork,3,7,Waterford,3,4,3
1957,Cork,2,9,Kilkenny,5,15,-15
1956,Cork,4,6,Dublin,3,4,5
1956,Cork,1,8,Wexford,1,14,-6
1956,Cork,4,11,Kilkenny,2,7,10
1956,Cork,4,10,Waterford,2,8,8
1955,Cork,1,4,Wexford,3,6,-8
1955,Cork,4,4,Dublin,3,9,-2
1955,Cork,2,2,Kilkenny,5,3,-10
1955,Cork,5,15,Waterford,4,11,7
1954,Cork,3,11,Wexford,0,6,14
1954,Cork,5,6,Dublin,6,8,-5
1954,Cork,1,5,Kilkenny,5,2,-9
1954,Cork,3,9,Waterford,3,5,4
1953,Cork,2,10,Tipperary,2,7,3
1953,Cork,7,8,Antrim,4,4,13
1953,Cork,3,11,Dublin,3,6,5
1953,Cork,3,7,Wexford,2,6,4
1953,Cork,6,7,Laois,4,2,11
1953,Cork,4,5,Kilkenny,3,2,6
1953,Cork,6,4,Waterford,3,9,4
1952,Cork,4,5,Antrim,3,6,2
1952,Cork,4,6,Dublin,4,8,-2
1952,Cork,4,6,Wexford,5,11,-8
1952,Cork,6,2,Laois,3,1,10
1952,Cork,3,2,Kilkenny,2,7,-2
1952,Cork,3,6,Waterford,1,10,2
1951,Cork,3,2,Galway,5,8,-12
1951,Cork,4,4,Clare,1,4,9
1951,Cork,2,0,Limerick,4,2,-8
1951,Cork,2,9,Kilkenny,3,10,-4
1950,Cork,2,2,Clare,5,9,-16
1950,Cork,5,12,Limerick,2,1,20
1950,Cork,2,1,Kilkenny,8,10,-27
1949,Cork,3,3,Tipperary,3,5,-2
1949,Cork,5,11,Kilkenny,4,5,9
1949,Cork,6,4,Dublin,4,3,7
1949,Cork,1,11,Waterford,0,7,7
1949,Cork,5,8,Laois,3,5,9
1949,Cork,1,7,Kilkenny,1,7,0
1949,Cork,8,5,Wexford,4,4,13
1948,Cork,3,3,Tipperary,1,2,7
1948,Cork,3,9,Dublin,1,10,5
1948,Cork,4,9,Kilkenny,3,8,4
1948,Cork,6,2,Waterford,4,5,3
1948,Cork,10,3,Laois,2,4,23
1948,Cork,5,5,Wexford,7,5,-6
1948,Cork,4,6,Dublin,2,7,5
1947,Cork,5,7,Kilkenny,0,5,17
1947,Cork,3,2,Waterford,5,1,-5
1947,Cork,6,3,Wexford,6,7,-4
1946,Cork,1,7,Dublin,8,7,-21
1946,Cork,5,6,Kilkenny,4,3,6
1946,Cork,5,11,Waterford,2,8,12
1946,Cork,4,9,Wexford,1,5,13
1941,Cork,4,11,Dublin,2,7,10
1941,Cork,4,2,Waterford,2,4,4
1941,Cork,6,3,Kilkenny,1,6,12
1941,Cork,1,7,Limerick,1,3,4
1941,Cork,7,6,Clare,3,4,14
1940,Cork,8,9,Tipperary,6,4,11
1940,Cork,3,3,Waterford,3,2,1
1940,Cork,5,7,Limerick,2,7,9
1940,Cork,8,4,Clare,4,0,16
1940,Cork,6,5,Kilkenny,4,7,4
1939,Cork,3,2,Waterford,2,5,0
1939,Cork,3,2,Limerick,8,2,-15
1939,Cork,2,3,Kilkenny,5,6,-12
1939,Cork,6,4,Clare,6,3,1
1938,Cork,2,3,Waterford,1,1,5
1938,Cork,6,11,Kilkenny,4,5,12
1938,Cork,6,4,Clare,5,0,7
1938,Cork,3,2,Limerick,3,3,-1
1937,Cork,5,1,Limerick,11,6,-23
1937,Cork,4,3,Dublin,5,3,-3
1937,Cork,6,4,Clare,1,2,17
1937,Cork,6,5,Kilkenny,2,2,15
1937,Cork,4,5,Galway,4,5,0
1937,Cork,9,5,Tipperary,5,3,14
1937,Cork,2,1,Waterford,4,2,-7
1937,Cork,6,2,Laois,2,1,13
1936,Cork,3,4,Galway,3,3,1
1936,Cork,8,3,Tipperary,1,2,22
1936,Cork,4,2,Limerick,3,6,-1
1936,Cork,5,5,Waterford,2,2,12
1936,Cork,2,6,Clare,4,2,-2
1936,Cork,4,4,Laois,3,4,3
1936,Cork,5,4,Dublin,2,3,10
1936,Cork,5,4,Kilkenny,2,2,11
1935,Cork,4,2,Galway,1,3,8
1935,Cork,6,5,Tipperary,4,3,8
1935,Cork,3,4,Limerick,2,7,0
1935,Cork,5,4,Waterford,2,1,12
1935,Cork,2,1,Clare,5,4,-12
1935,Cork,8,3,Laois,3,3,15
1935,Cork,5,1,Dublin,6,5,-7
1935,Cork,2,7,Kilkenny,5,5,-7
1934,Cork,5,1,Tipperary,6,1,-3
1934,Cork,8,1,Laois,3,2,14
1934,Cork,5,0,Waterford,3,1,5
1934,Cork,2,5,Limerick,8,6,-19
1934,Cork,3,6,Waterford,4,3,0
1934,Cork,4,2,Kerry,5,1,-2
1934,Cork,5,2,Kilkenny,5,4,-2
1934,Cork,4,2,Dublin,5,5,-6
1933,Cork,7,5,Laois,1,2,21
1933,Cork,5,6,Waterford,1,4,14
1933,Cork,2,2,Kilkenny,2,5,-3
1933,Cork,4,3,Dublin,0,3,12
1931,Cork,2,1,Waterford,4,1,-6
1931,Cork,4,3,Tipperary,7,6,-12
1931,Cork,4,6,Kilkenny,4,4,2
1930,Cork,3,5,Dublin,3,0,5
1930,Cork,6,8,Waterford,2,1,19
1930,Cork,7,7,Limerick,4,3,13
1930,Cork,9,2,Kilkenny,5,1,13
1929,Cork,5,5,Dublin,7,4,-5
1929,Cork,5,4,Tipperary,3,3,7
1929,Cork,4,7,Limerick,3,1,9
1929,Cork,4,11,Galway,1,3,17
1929,Cork,4,5,Limerick,1,2,12
1929,Cork,4,2,Tipperary,5,2,-3
1929,Cork,14,6,Kerry,3,0,39
1929,Cork,7,1,Waterford,2,4,12
1929,Cork,4,4,Clare,3,2,5
1927,Cork,6,0,Galway,1,1,14
1927,Cork,4,4,Clare,1,2,11
1927,Cork,4,5,Limerick,6,2,-3
1927,Cork,3,4,Kilkenny,2,3,4
1927,Cork,3,5,Tipperary,5,0,-1
1927,Cork,1,6,Dublin,4,3,-6
1927,Cork,14,3,Laois,2,1,38
1926,Cork,3,7,Dublin,1,5,8
1926,Cork,5,3,Tipperary,4,1,5
1926,Cork,8,6,Kilkenny,1,3,24
1926,Cork,5,1,Galway,3,0,7
1926,Cork,1,4,Limerick,1,2,2
1926,Cork,3,0,Laois,11,0,-24
